DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,682.00,846.00,OO,14908,SNA,11292,DEN,12
12.00,684.00,770.00,WN,11292,DEN,15016,STL,1
12.00,686.00,192.00,OO,14570,RNO,14771,SFO,2
12.00,686.00,227.00,OH (1),11057,CLT,10397,ATL,8
12.00,689.00,326.00,YV,10529,BDL,12264,IAD,4
12.00,690.00,487.00,WN,11042,CLE,15016,STL,1
12.00,692.00,83.00,OH,11057,CLT,11995,GSO,11
12.00,692.00,134.00,EV,10599,BHM,10397,ATL,1
12.00,692.00,588.00,OO,14908,SNA,14869,SLC,4
12.00,692.00,717.00,S5,13931,ORF,13930,ORD,1
12.00,693.00,139.00,G7,13367,MLI,13930,ORD,6
12.00,693.00,228.00,S5,12264,IAD,12478,JFK,11
12.00,695.00,253.00,AS,10299,ANC,10170,ADQ,5
12.00,696.00,286.00,OO,13930,ORD,14730,SDF,9
12.00,697.00,326.00,YV,10529,BDL,12264,IAD,7
12.00,697.00,678.00,YV,14100,PHL,13930,ORD,8
12.00,697.00,1725.00,CO,11503,EGE,11618,EWR,12
12.00,698.00,155.00,OH (1),11433,DTW,11066,CMH,8
12.00,698.00,432.00,S5,10397,ATL,12339,IND,9
12.00,698.00,508.00,EV,10397,ATL,14098,PHF,2
12.00,699.00,1024.00,OH (1),11193,CVG,14683,SAT,8
12.00,700.00,787.00,OH (1),10821,BWI,13244,MEM,12
12.00,701.00,325.00,G7,12264,IAD,10257,ALB,10
12.00,701.00,659.00,CP (2),12339,IND,12953,LGA,12
12.00,703.00,185.00,US,10721,BOS,12953,LGA,12
12.00,704.00,214.00,EV,10693,BNA,10397,ATL,2
12.00,704.00,335.00,YX,12953,LGA,14122,PIT,1
12.00,706.00,155.00,XJ,11433,DTW,11066,CMH,6
12.00,706.00,329.00,OH,11057,CLT,10693,BNA,6
